huc_code,avg_curvature,avg_swm1,avg_swm2,avg_ori,avg_dsm,avg_geomorph,avg_pos,avg_tpi,avg_twi
19050302_50,,,,,,,,,
19050302_74,,,,,,,,,
19060301,,,,,,,,,
19060302,,,,,,,,,
19080302,,,,,,,,,
19090101,,,,,,,,,
19090103,,,,,,,,,
AK_50_Dataset,,,,,,,,,
AK_50_Filtered_Reference,,,,,,,,,
AK_50_Sample_Dataset,,,,,,,,,
AK_50_avg_sample_ori,,,,,,,,,
190503021001,-0.0002526969474274665,0.029002510011196136,0.031508006155490875,128.5808503699711,1065.22509765625,5.979063608178788,0.8096734285354614,0.021836424246430397,6.1464390005353255
190503021002,-0.00037673121551051736,0.02706608735024929,0.028807805851101875,131.20312017191495,971.2854614257812,5.986342664119778,0.7894490361213684,0.0342172272503376,5.831648282116672
190503021003,-0.00017412436136510223,0.028271351009607315,0.030168237164616585,129.5556088204005,896.5347290039062,5.957857266472507,0.7959060668945312,0.017079276964068413,5.991007449993818
190503021004,-0.0001800313184503466,0.027720553800463676,0.030627885833382607,126.42839673202076,957.7816162109375,5.976845448043171,0.8000941276550293,0.016990697011351585,6.035000890203237
190503021005,-0.0002453049528412521,0.02746429480612278,0.030286697670817375,129.6993963978626,964.2929077148438,5.991149234227455,0.7961887717247009,0.02200266346335411,5.966518438134659
190503021006,-0.0004826875519938767,0.02641471102833748,0.02941281348466873,111.50978859513066,932.2025756835938,5.984220043576321,0.7845975756645203,0.04127748683094978,5.8839753100943755
190503021007,-0.00024205382214859128,0.02847631461918354,0.030444756150245667,131.99085341627597,876.1259765625,5.9899247102493955,0.8123434782028198,0.023531591519713402,6.072676109930209
190503021008,-0.00045736218453384936,0.028335893526673317,0.030704058706760406,121.16320153940471,788.2830200195312,5.981656796055275,0.8155945539474487,0.03336227312684059,6.14812780468817
190503021009,-0.0002317274920642376,0.03142021223902702,0.03131558746099472,124.96367225690484,605.7919311523438,5.8721718355365,0.826037585735321,0.018427763134241104,6.292168694805204
190503021101,-0.00020538146782200783,0.02982080541551113,0.03211713954806328,122.54687054805667,658.8631591796875,5.9357424674646175,0.8349288702011108,0.012363838031888008,6.352753346845707
190503021102,-0.00023835526371840388,0.03115467168390751,0.031128153204917908,111.24992499010666,570.702392578125,5.893738476470152,0.8209812045097351,0.016321033239364624,6.213374838586995
190503021103,-0.00022112656733952463,0.029698409140110016,0.03077826462686062,122.9735297420131,841.9088134765625,5.9740422403422,0.802560031414032,0.02057584747672081,6.085830496294528
190503021104,-0.00018654590530786663,0.0333910696208477,0.034931134432554245,124.19033925473545,630.2206420898438,5.921939946941389,0.8531143665313721,0.010799160227179527,6.70629649241083
