huc_code,kmean_cluster,kmeans_split,random_cluster,random_split
190603010101,9,test,1,test
190603010102,2,test,2,test
190603010103,2,test,6,test
190603010104,7,test,6,test
190603010105,7,test,0,test
190603010106,5,test,8,test
190603010107,7,test,3,test
190603010108,7,test,9,test
190603010109,7,test,3,test
190603010201,5,test,8,test
190603010202,7,test,0,test
190603010203,7,test,9,test
190603010204,7,train,0,train
190603010205,7,test,3,test
190603010207,7,test,8,train
190603010208,7,test,5,test
190603010209,1,test,8,test
190603010301,2,test,4,test
190603010302,2,test,5,test
190603010303,5,train,0,test
190603010304,7,test,3,test
190603010401,9,test,4,test
190603010402,2,test,5,test
190603010403,5,test,6,test
190603010404,5,test,0,test
190603010405,7,test,8,test
190603010406,7,test,2,test
190603010407,7,test,2,test
190603010501,2,test,6,test
190603010502,2,test,7,test
190603010503,5,test,3,test
190603010504,7,test,8,test
190603010505,7,test,7,test
190603010601,9,test,6,test
190603010602,2,test,8,test
190603010603,2,test,6,test
190603010604,5,test,6,test
190603010605,5,test,6,test
190603010606,7,test,8,test
190603010607,7,test,2,test
190603010608,7,test,0,test
190603010609,7,test,2,test
190603010610,1,test,3,test
190603010701,7,test,3,test
190603010702,1,test,1,test
190603010703,1,test,3,test
190603010704,1,test,0,test
190603010705,1,test,8,test
190603010706,1,test,7,test
190603010707,1,test,5,test
190603010708,1,test,0,test
190603010709,1,test,7,test
190603010710,1,test,0,test
190603010801,2,test,0,test
190603010802,2,test,4,test
190603010803,5,test,5,test
190603010804,2,test,0,test
190603010805,5,test,3,test
190603010806,5,train,4,test
190603010807,3,test,0,test
190603010808,1,train,4,test
190603010901,2,test,1,test
190603010902,7,train,9,train
190603010903,3,test,1,test
190603010904,7,test,2,test
190603010905,3,test,0,test
190603010906,5,train,1,test
190603010907,1,test,8,test
190603010908,1,test,8,train
190603010909,1,test,4,test
190603010910,1,test,5,test
190603011001,1,test,4,test
190603011002,1,test,6,test
190603011003,1,test,2,test
190603011004,1,test,6,test
190603011005,3,test,2,train
190603011006,3,test,6,test
190603011007,3,test,1,test
190603011008,3,test,5,test
190603011009,8,test,3,test
190603011010,8,test,2,test
190603011101,8,train,1,test
190603011102,2,test,8,train
190603011103,5,test,2,test
190603011104,2,test,3,test
190603011105,5,test,4,test
190603011106,5,test,4,test
190603011201,5,test,3,test
190603011202,7,test,7,test
190603011203,7,test,1,test
190603011204,1,test,1,test
190603011205,7,train,6,train
190603011206,1,test,2,test
190603011207,1,test,1,test
190603011208,1,test,5,test
190603011209,8,test,9,test
190603011301,2,test,4,test
190603011302,5,test,4,test
190603011303,2,test,4,test
190603011304,7,train,7,test
190603011305,7,test,8,test
190603011306,5,test,0,test
190603011307,7,test,3,test
190603011308,7,train,9,test
190603011309,7,test,4,test
190603011310,7,test,3,test
190603011401,4,test,2,test
190603011402,0,test,0,test
190603011403,0,test,6,test
190603011404,0,test,0,test
190603011405,9,test,0,train
190603011406,0,test,3,test
190603011407,4,test,6,test
190603011408,9,test,7,test
190603011501,2,test,0,test
190603011502,9,test,0,test
190603011503,4,test,4,test
190603011504,2,test,5,test
190603011505,2,test,2,test
190603011506,2,test,0,test
190603011507,7,test,9,test
190603011601,2,test,9,test
190603011602,5,test,7,test
190603011603,7,test,5,test
190603011701,9,test,0,test
190603011702,5,test,7,test
190603011703,5,test,1,test
190603011704,2,train,3,test
190603011705,1,test,8,test
190603011706,7,test,1,test
190603011801,0,test,2,test
190603011802,2,test,3,test
190603011803,4,test,2,test
190603011804,2,test,5,test
190603011805,7,test,1,test
190603011806,1,test,0,test
190603011807,8,test,5,train
190603011901,1,train,0,test
190603011902,1,test,7,test
190603011903,1,test,3,test
190603011904,1,test,2,test
190603011905,1,test,5,test
190603011906,8,test,1,test
190603011907,8,test,5,test
190603012001,8,test,2,test
190603012002,8,test,1,test
190603012003,8,test,1,test
190603012004,8,test,0,test
190603012101,8,test,0,test
190603012102,8,test,2,test
190603012103,8,test,0,test
190603012201,8,test,8,test
190603012202,8,test,4,test
190603012203,8,train,8,test
190603012204,8,test,2,test
190603012205,8,test,3,test
190603012206,8,test,7,test
190603012207,8,test,6,test
190603012301,8,test,1,test
190603012302,8,test,6,test
190603012303,8,test,7,train
190603012304,8,test,1,test
190603012401,8,test,0,train
190603012402,8,train,1,test
190603012403,8,test,1,test
190603012404,8,test,1,test
190603012405,8,test,4,test
190603012406,8,test,1,test
190603012407,8,test,0,test
190603012501,8,test,0,test
190603012502,8,test,7,test
190603012503,8,test,6,test
190603012504,3,test,1,train
190603012505,8,test,5,test
190603012506,8,test,2,test
190603012507,8,test,5,test
190603012601,8,test,7,test
190603012602,8,test,0,test
190603012603,8,test,7,test
190603012604,8,test,2,test
190603012605,8,test,3,test
190603012606,8,test,1,test
190603012607,8,test,4,test
190603012701,8,test,7,test
190603012702,8,test,6,test
190603012703,8,test,0,test
190603012704,8,test,0,test
190603012705,8,test,4,test
190603012706,8,test,8,test
190603012707,3,test,0,test
190603020101,6,test,5,test
190603020102,0,test,9,test
190603020103,6,test,4,test
190603020104,9,test,6,test
190603020105,9,test,7,test
190603020106,7,test,3,test
190603020107,7,test,3,test
190603020201,0,test,0,test
190603020202,0,test,0,test
190603020203,6,train,9,test
190603020204,6,test,4,test
190603020205,4,test,0,test
190603020206,5,test,8,test
190603020207,7,test,7,test
190603020301,9,test,8,test
190603020302,7,test,8,test
190603020303,7,test,9,test
190603020401,7,test,2,test
190603020402,1,test,7,test
190603020403,1,test,3,test
190603020404,8,test,4,test
190603020501,8,test,5,test
190603020502,8,test,5,test
190603020503,8,train,0,test
190603020504,8,train,7,test
190603020601,8,test,4,test
190603020602,8,test,4,test
190603020603,3,test,9,test
190603020604,8,test,1,test
190603020606,8,test,4,test
190603020607,3,test,5,test
190603020701,7,test,0,test
190603020702,1,train,1,test
190603020703,1,test,2,train
190603020704,1,test,4,test
190603020801,4,test,7,test
190603020802,7,test,3,test
190603020803,5,train,2,test
190603020804,5,test,5,test
190603020805,5,test,5,test
190603020806,1,test,1,train
190603020807,8,test,3,test
190603020808,8,test,4,test
190603020809,8,test,8,test
190603020810,8,test,1,test
190603020811,8,test,7,test
190603020901,8,test,0,test
